Date/Time,Step Count (count),Source
2020-08-07 00:00:00,4344,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-08 00:00:00,2802,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-09 00:00:00,6275,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-10 00:00:00,2468,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-11 00:00:00,1648,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-12 00:00:00,1002,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-13 00:00:00,5627,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-14 00:00:00,4612,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-15 00:00:00,2020,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-16 00:00:00,2703,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-17 00:00:00,1260,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-18 00:00:00,2268,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-19 00:00:00,1685,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-20 00:00:00,3090,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-21 00:00:00,4798,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-22 00:00:00,3475,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-23 00:00:00,5267,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-24 00:00:00,2574,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-25 00:00:00,2808,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-26 00:00:00,2692,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-27 00:00:00,5476,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-28 00:00:00,5157,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-29 00:00:00,1566,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-30 00:00:00,5516,Kelvin’s Apple Watch|iPhone|iPhone
2020-08-31 00:00:00,1851,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-01 00:00:00,2047,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-02 00:00:00,1991,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-03 00:00:00,3566,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-04 00:00:00,5746,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-05 00:00:00,4171,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-06 00:00:00,5712,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-07 00:00:00,5782,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-08 00:00:00,7089,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-09 00:00:00,2614,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-10 00:00:00,1423,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-11 00:00:00,1730,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-12 00:00:00,3163,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-13 00:00:00,3136,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-14 00:00:00,1546,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-15 00:00:00,1227,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-16 00:00:00,3200,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-17 00:00:00,2435,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-18 00:00:00,2319,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-19 00:00:00,5161,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-20 00:00:00,2163,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-21 00:00:00,2127,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-22 00:00:00,1403,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-23 00:00:00,2778,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-24 00:00:00,2034,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-25 00:00:00,4749,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-26 00:00:00,3742,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-27 00:00:00,2742,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-28 00:00:00,4854,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-29 00:00:00,6515,Kelvin’s Apple Watch|iPhone|iPhone
2020-09-30 00:00:00,3150,Kelvin’s Apple Watch|iPhone|iPhone
2020-10-01 00:00:00,6350,Kelvin’s Apple Watch|iPhone|iPhone
2020-10-02 00:00:00,1451,Kelvin’s Apple Watch|iPhone|iPhone
2020-10-03 00:00:00,4673,Kelvin’s Apple Watch|iPhone|iPhone
2020-10-04 00:00:00,11,Kelvin’s Apple Watch|iPhone|iPhone
2021-08-11 00:00:00,348,Kelvin’s Apple Watch|iPhone|iPhone|iPhone
2022-12-18 00:00:00,46,Kelvin’s Apple Watch|iPhone|iPhone|iPhone|iPhone
2022-12-19 00:00:00,2581,Kelvin’s Apple Watch|Kelvin’s Apple Watch|iPhone|iPhone|iPhone|iPhone
2022-12-20 00:00:00,3324,Kelvin’s Apple Watch|Kelvin’s Apple Watch|iPhone|iPhone|iPhone|iPhone
2022-12-21 00:00:00,3387,Kelvin’s Apple Watch|Kelvin’s Apple Watch|iPhone|iPhone|iPhone|iPhone
2022-12-22 00:00:00,3175,Kelvin’s Apple Watch|Kelvin’s Apple Watch|iPhone|iPhone|iPhone|iPhone
2022-12-23 00:00:00,4215,Kelvin’s Apple Watch|Kelvin’s Apple Watch|iPhone|iPhone|iPhone|iPhone
2022-12-24 00:00:00,5295,Kelvin’s Apple Watch|Kelvin’s Apple Watch|iPhone|iPhone|iPhone|iPhone
2022-12-25 00:00:00,3169,Kelvin’s Apple Watch|Kelvin’s Apple Watch|iPhone|iPhone|iPhone|iPhone
2022-12-26 00:00:00,6968,Kelvin’s Apple Watch|Kelvin’s Apple Watch|iPhone|iPhone|iPhone|iPhone
2022-12-27 00:00:00,2678,Kelvin’s Apple Watch|Kelvin’s Apple Watch|iPhone|iPhone|iPhone|iPhone
2022-12-28 00:00:00,2800,Kelvin’s Apple Watch|Kelvin’s Apple Watch|iPhone|iPhone|iPhone|iPhone
2022-12-29 00:00:00,5086,Kelvin’s Apple Watch|Kelvin’s Apple Watch|iPhone|iPhone|iPhone|iPhone
