Date/Time,Step Count (count),Source
2022-02-14 00:00:00,1126,Zebra|iPhone
2022-02-15 00:00:00,839,Zebra|iPhone
2022-02-16 00:00:00,3710,Zebra|iPhone
2022-02-17 00:00:00,935,Zebra|iPhone
2022-02-18 00:00:00,1129,Zebra|iPhone
2022-02-19 00:00:00,550.45,Zebra|iPhone
2022-02-20 00:00:00,2021,Zebra|iPhone
2022-02-21 00:00:00,828,Zebra|iPhone
2022-02-22 00:00:00,1196,Zebra|iPhone
2022-02-23 00:00:00,1485,Zebra|iPhone
2022-02-24 00:00:00,818,Zebra|iPhone
2022-02-25 00:00:00,2760,Zebra|iPhone
2022-02-26 00:00:00,666,Zebra|iPhone
2022-02-27 00:00:00,1052,Zebra|iPhone
2022-02-28 00:00:00,516,Zebra|iPhone
2022-03-01 00:00:00,1382,Zebra|iPhone
2022-03-02 00:00:00,475,Zebra|iPhone
2022-03-03 00:00:00,931,Zebra|iPhone
2022-03-04 00:00:00,839,Zebra|iPhone
2022-03-05 00:00:00,2624,Zebra|iPhone
2022-03-06 00:00:00,1352,Zebra|iPhone
2022-03-07 00:00:00,968,Zebra|iPhone
2022-03-08 00:00:00,778,Zebra|iPhone
2022-03-09 00:00:00,624,Zebra|iPhone
2022-03-10 00:00:00,884,Zebra|iPhone
2022-03-11 00:00:00,1812,Zebra|iPhone
2022-03-12 00:00:00,1033,Zebra|iPhone
2022-03-13 00:00:00,876,Zebra|iPhone
2022-03-14 00:00:00,1525,Zebra|iPhone
2022-03-15 00:00:00,481,Zebra|iPhone
2022-03-16 00:00:00,469,Zebra|iPhone
2022-03-17 00:00:00,2860,Zebra|iPhone
2022-03-18 00:00:00,5629,Zebra|iPhone
2022-03-19 00:00:00,860,Zebra|iPhone
2022-03-20 00:00:00,724,Zebra|iPhone
2022-03-21 00:00:00,667,Zebra|iPhone
2022-03-22 00:00:00,970,Zebra|iPhone
2022-03-23 00:00:00,539,Zebra|iPhone
2022-03-24 00:00:00,402.54,Zebra|iPhone
2022-03-25 00:00:00,1818,Zebra|iPhone
2022-03-26 00:00:00,972,Zebra|iPhone
2022-03-27 00:00:00,1369,Zebra|iPhone
2022-03-28 00:00:00,557,Zebra|iPhone
2022-03-29 00:00:00,554,Zebra|iPhone
2022-03-30 00:00:00,606,Zebra|iPhone
2022-03-31 00:00:00,566,Zebra|iPhone
2022-04-01 00:00:00,1176,Zebra|iPhone
2022-04-02 00:00:00,2138,Zebra|iPhone
2022-04-03 00:00:00,1689,Zebra|iPhone
2022-04-04 00:00:00,644.24,Zebra|iPhone
2022-04-05 00:00:00,1940,Zebra|iPhone
2022-04-06 00:00:00,5516,Zebra|iPhone
2022-04-07 00:00:00,663,Zebra|iPhone
2022-04-08 00:00:00,3406,Zebra|iPhone
2022-04-09 00:00:00,653,Zebra|iPhone
2022-04-10 00:00:00,977,Zebra|iPhone
2022-04-11 00:00:00,796,Zebra|iPhone
2022-04-12 00:00:00,2141,Zebra|iPhone
2022-04-13 00:00:00,5588,Zebra|iPhone
2022-04-14 00:00:00,2458,Zebra|iPhone
2022-04-15 00:00:00,1337,Zebra|iPhone
