Date/Time,Step Count (count),Source
2020-11-21 00:00:00,646,Gekyume
2020-11-22 00:00:00,766,Gekyume
2020-11-23 00:00:00,1151,Gekyume
2020-11-24 00:00:00,620,Gekyume
2020-11-25 00:00:00,1277,Gekyume
2020-11-26 00:00:00,918,Gekyume
2020-11-27 00:00:00,857,Gekyume
2020-11-28 00:00:00,2901,Gekyume
2020-11-29 00:00:00,608,Gekyume
2020-11-30 00:00:00,1275,Gekyume
2020-12-01 00:00:00,585,Gekyume
2020-12-02 00:00:00,821,Gekyume
2020-12-03 00:00:00,931,Gekyume
2020-12-04 00:00:00,1216,Gekyume
2020-12-05 00:00:00,831,Gekyume
2020-12-06 00:00:00,1141,Gekyume
2020-12-07 00:00:00,931,Gekyume
2020-12-08 00:00:00,711,Gekyume
2020-12-09 00:00:00,679,Gekyume
2020-12-10 00:00:00,946,Gekyume
2020-12-11 00:00:00,1143,Gekyume
2020-12-12 00:00:00,1490,Gekyume
2020-12-13 00:00:00,787,Gekyume
2020-12-14 00:00:00,820,Gekyume
2020-12-15 00:00:00,735,Gekyume
2020-12-16 00:00:00,1081,Gekyume
2020-12-17 00:00:00,775,Gekyume
2020-12-18 00:00:00,854,Gekyume
2020-12-19 00:00:00,3450,Gekyume
2020-12-20 00:00:00,640,Gekyume
2020-12-21 00:00:00,438,Gekyume
2020-12-22 00:00:00,1147,Gekyume
2020-12-23 00:00:00,390.32,Gekyume
2020-12-24 00:00:00,928,Gekyume
2020-12-25 00:00:00,1273,Gekyume
2020-12-26 00:00:00,332,Gekyume
2020-12-27 00:00:00,522,Gekyume
2020-12-28 00:00:00,340,Gekyume
2020-12-29 00:00:00,544,Gekyume
2020-12-30 00:00:00,476,Gekyume
2020-12-31 00:00:00,440,Gekyume
2021-01-01 00:00:00,415,Gekyume
2021-01-02 00:00:00,863,Gekyume
2021-01-03 00:00:00,15,Gekyume
2021-01-04 00:00:00,617,Gekyume
2021-01-05 00:00:00,555,Gekyume
2021-01-06 00:00:00,570,Gekyume
2021-01-07 00:00:00,509,Gekyume
2021-01-08 00:00:00,751,Gekyume
2021-01-09 00:00:00,259,Gekyume
2021-01-10 00:00:00,845,Gekyume
2021-01-11 00:00:00,434,Gekyume
2021-01-12 00:00:00,1053,Gekyume
2021-01-13 00:00:00,389,Gekyume
2021-01-14 00:00:00,453,Gekyume
2021-01-15 00:00:00,786,Gekyume
2021-01-16 00:00:00,880,Gekyume
2021-01-17 00:00:00,498,Gekyume
2021-01-18 00:00:00,821,Gekyume
2021-01-19 00:00:00,329,Gekyume
2021-01-20 00:00:00,450,Gekyume
2021-01-21 00:00:00,481,Gekyume
2021-01-22 00:00:00,403,Gekyume
2021-01-23 00:00:00,541,Gekyume
2021-01-24 00:00:00,869,Gekyume
2021-01-25 00:00:00,805,Gekyume
2021-01-26 00:00:00,626,Gekyume
2021-01-27 00:00:00,576,Gekyume
2021-01-28 00:00:00,622,Gekyume
2021-01-29 00:00:00,487,Gekyume
2021-01-30 00:00:00,449,Gekyume
2021-01-31 00:00:00,607,Gekyume
2021-02-01 00:00:00,671,Gekyume
2021-02-02 00:00:00,8083,Gekyume
2021-02-03 00:00:00,671,Gekyume
2021-02-04 00:00:00,726,Gekyume
2021-02-05 00:00:00,882,Gekyume
2021-02-06 00:00:00,348,Gekyume
2021-02-07 00:00:00,838,Gekyume
2021-02-08 00:00:00,847,Gekyume
2021-02-09 00:00:00,374,Gekyume
2021-02-10 00:00:00,675,Gekyume
2021-02-11 00:00:00,773,Gekyume
2021-02-12 00:00:00,608,Gekyume
2021-02-13 00:00:00,400,Gekyume
2021-02-14 00:00:00,479,Gekyume
2021-02-15 00:00:00,1257,Gekyume
2021-02-16 00:00:00,1121,Gekyume
2021-02-17 00:00:00,319,Gekyume
2021-02-18 00:00:00,605,Gekyume
2021-02-19 00:00:00,487,Gekyume
2021-02-20 00:00:00,703,Gekyume
2021-02-21 00:00:00,879,Gekyume
2021-02-22 00:00:00,655,Gekyume
2021-02-23 00:00:00,785,Gekyume
2021-02-24 00:00:00,288,Gekyume
2021-02-25 00:00:00,867,Gekyume
2021-02-26 00:00:00,609,Gekyume
2021-02-27 00:00:00,774,Gekyume
2021-02-28 00:00:00,581,Gekyume
2021-03-01 00:00:00,1202,Gekyume
2021-03-02 00:00:00,1272,Gekyume
2021-03-03 00:00:00,758,Gekyume
2021-03-04 00:00:00,645,Gekyume
2021-03-05 00:00:00,1460,Gekyume
2021-03-06 00:00:00,729.35,Gekyume
2021-03-07 00:00:00,1298,Gekyume
2021-03-08 00:00:00,908.88,Gekyume
2021-03-09 00:00:00,765.12,Gekyume
2021-03-10 00:00:00,1231,Gekyume
2021-03-11 00:00:00,1332,Gekyume
2021-03-12 00:00:00,2746,Gekyume
2021-03-13 00:00:00,723,Gekyume
2021-03-14 00:00:00,968,Gekyume
2021-03-15 00:00:00,2324,Gekyume
2021-03-16 00:00:00,663,Gekyume
2021-03-17 00:00:00,818,Gekyume
2021-03-18 00:00:00,811,Gekyume
2021-03-19 00:00:00,937,Gekyume
2021-03-20 00:00:00,4950,Gekyume
2021-03-21 00:00:00,785,Gekyume
2021-03-22 00:00:00,1008,Gekyume
2021-03-23 00:00:00,996,Gekyume
2021-03-24 00:00:00,1213,Gekyume
2021-03-25 00:00:00,1315,Gekyume
2021-03-26 00:00:00,808,Gekyume
2021-03-27 00:00:00,3172,Gekyume
2021-03-28 00:00:00,700,Gekyume
2021-03-29 00:00:00,1051,Gekyume
2021-03-30 00:00:00,1578,Gekyume
2021-03-31 00:00:00,865,Gekyume
2021-04-01 00:00:00,1108,Gekyume
2021-04-02 00:00:00,517,Gekyume
2021-04-03 00:00:00,1309,Gekyume
2021-04-04 00:00:00,340,Gekyume
2021-04-05 00:00:00,1143,Gekyume
2021-04-06 00:00:00,1321,Gekyume
2021-04-07 00:00:00,1540,Gekyume
2021-04-08 00:00:00,2208,Gekyume
2021-04-09 00:00:00,267,Gekyume
2021-04-10 00:00:00,2045,Gekyume
2021-04-11 00:00:00,7724,Gekyume
2021-04-12 00:00:00,471,Gekyume
2021-04-13 00:00:00,329,Gekyume
2021-04-14 00:00:00,991,Gekyume
2021-04-15 00:00:00,1100,Gekyume
2021-04-16 00:00:00,786,Gekyume
2021-04-17 00:00:00,190,Gekyume
2021-04-18 00:00:00,1676,Gekyume
2021-04-19 00:00:00,1884,Gekyume
2021-04-20 00:00:00,2298,Gekyume
2021-04-21 00:00:00,2052,Gekyume
2021-04-22 00:00:00,1693,Gekyume
2021-04-23 00:00:00,1169,Gekyume
2021-04-24 00:00:00,1220,Gekyume
2021-04-25 00:00:00,791,Gekyume
2021-04-26 00:00:00,747,Gekyume
2021-04-27 00:00:00,650,iPhone|Gekyume
2021-04-28 00:00:00,526,iPhone|Gekyume
2021-04-29 00:00:00,854,iPhone|Gekyume
2021-04-30 00:00:00,616,iPhone|Gekyume
2021-05-01 00:00:00,654,iPhone|Gekyume
2021-05-02 00:00:00,707,iPhone|Gekyume
2021-05-03 00:00:00,954,iPhone|Gekyume
2021-05-04 00:00:00,1036,iPhone|Gekyume
2021-05-05 00:00:00,573,iPhone|Gekyume
2021-05-06 00:00:00,177,iPhone|Gekyume
