Date/Time,Step Count (count),Source
2020-09-06 00:00:00,5925,Veronica's iPhone (2)
2020-09-07 00:00:00,2678,Veronica's iPhone (2)
2020-09-08 00:00:00,890,Veronica's iPhone (2)
2020-09-09 00:00:00,1464,Veronica's iPhone (2)
2020-09-10 00:00:00,3426,Veronica's iPhone (2)
2020-09-11 00:00:00,1002,Veronica's iPhone (2)
2020-09-12 00:00:00,2763,Veronica's iPhone (2)
2020-09-13 00:00:00,1183,Veronica's iPhone (2)
2020-09-14 00:00:00,5692,Veronica's iPhone (2)
2020-09-15 00:00:00,1916,Veronica's iPhone (2)
2020-09-16 00:00:00,3455,Veronica's iPhone (2)
2020-09-17 00:00:00,1319,Veronica's iPhone (2)
2020-09-18 00:00:00,4100,Veronica's iPhone (2)
2020-09-19 00:00:00,4150,Veronica's iPhone (2)
2020-09-20 00:00:00,5988,Veronica's iPhone (2)
2020-09-21 00:00:00,767,Veronica's iPhone (2)
2020-09-22 00:00:00,1512,Veronica's iPhone (2)
2020-09-23 00:00:00,261,Veronica's iPhone (2)
2020-09-24 00:00:00,2068,Veronica's iPhone (2)
2020-09-25 00:00:00,3080,Veronica's iPhone (2)
2020-09-26 00:00:00,2821,Veronica's iPhone (2)
2020-09-27 00:00:00,333,Veronica's iPhone (2)
2020-09-28 00:00:00,68,Veronica's iPhone (2)
2020-09-29 00:00:00,35,Veronica's iPhone (2)
2020-09-30 00:00:00,429,Veronica's iPhone (2)
2020-10-01 00:00:00,816,Veronica's iPhone (2)
2020-10-02 00:00:00,2500,Veronica's iPhone (2)
2020-10-03 00:00:00,7339,Veronica's iPhone (2)
2020-10-04 00:00:00,8858,Veronica's iPhone (2)
2020-10-05 00:00:00,4177,Veronica's iPhone (2)
2020-10-06 00:00:00,4183,Veronica's iPhone (2)
2020-10-07 00:00:00,2078,Veronica's iPhone (2)
2020-10-08 00:00:00,4132,Veronica's iPhone (2)
2020-10-09 00:00:00,2256,Veronica's iPhone (2)
2020-10-10 00:00:00,3782,Veronica's iPhone (2)
2020-10-11 00:00:00,725,Veronica's iPhone (2)
2020-10-12 00:00:00,3320,Veronica's iPhone (2)
2020-10-13 00:00:00,4663,Veronica's iPhone (2)
2020-10-14 00:00:00,3570,Veronica's iPhone (2)
2020-10-15 00:00:00,5405,Veronica's iPhone (2)
2020-10-16 00:00:00,2270,Veronica's iPhone (2)
2020-10-17 00:00:00,3321,Veronica's iPhone (2)
2020-10-18 00:00:00,750,Veronica's iPhone (2)
2020-10-19 00:00:00,2117,Veronica's iPhone (2)
2020-10-20 00:00:00,4791,Veronica's iPhone (2)
2020-10-21 00:00:00,5383,Veronica's iPhone (2)
2020-10-22 00:00:00,2952,Veronica's iPhone (2)
2020-10-23 00:00:00,2417,Veronica's iPhone (2)
2020-10-24 00:00:00,792,Veronica's iPhone (2)
2020-10-25 00:00:00,696,Veronica's iPhone (2)
2020-10-26 00:00:00,2467,Veronica's iPhone (2)
2020-10-27 00:00:00,3477,Veronica's iPhone (2)
